region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,total_msw_total_msw_generated_tons_year
MEA,Kuwait,58810.30078,45.0,4.0,2.0,8.0,20.0,20.0,Yes,Yes,Yes,2998083,67000.0,1750000.0
EAS,Lao PDR,6543.666992,16.9,9.3,3.7,20.3,2.8,6.1,Yes,Yes,Yes,6663967,7500.0,351900.0
MEA,Lebanon,16966.74023,52.5,3.5,5.5,11.0,16.0,11.5,Yes,No,No,5603279,51000.0,2040000.0
SSF,Liberia,1333.422241,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,3512932,22500.0,564466.7
MEA,Libya,8479.946289,70.1,3.1,4.3,3.8,5.5,7.5,Yes,No,Yes,6193501,70000.0,2147596.472
LCN,St. Lucia,14029.98242,45.0,7.0,5.0,11.0,10.0,22.0,Yes,Yes,Yes,177206,1600.0,77616.228
ECS,Liechtenstein,45726.98828,37.6,5.0,12.5,9.1,30.3,5.4,Yes,Yes,No,36545,293.0,32382.0
SAS,Sri Lanka,12287.47266,62.0,2.0,3.0,13.0,7.0,7.0,Yes,Yes,No,21203000,72.5,2631650.0
SSF,Lesotho,1978.608398,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,1965662,1800.0,73457.0
ECS,Lithuania,37278.30469,40.4,8.65,2.75,44.05,10.05,10.15,Yes,Yes,Yes,2786844,82691.0,1315390.375
ECS,Luxembourg,114323.4063,30.0,4.0,2.0,27.0,19.0,18.0,Yes,Yes,No,619896,7398.0,490337.75
ECS,Latvia,30982.17383,46.7,21.4,2.6,9.7,6.1,7.7,Yes,Yes,Yes,1912789,25071.0,839714.375
EAS,"Macao SAR, China",117335.5859,3.1,3.3,1.7,3.1,58.7,7.9,Yes,Yes,Yes,612167,11000.0,377942.0
LCN,St. Martin (French part),30385.89453,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,30959,22500.0,15479.5
MEA,Morocco,6915.103027,60.0,2.0,2.5,6.0,9.0,8.0,No,Yes,Yes,34318080,30300.0,6852000.0
ECS,Monaco,43711.80078,43.2,3.0,2.2,14.0,2.2,1.0,Yes,Yes,Yes,37783,22500.0,46000.0
ECS,Moldova,10360.83008,55.0,4.0,3.0,23.0,5.0,10.0,Yes,Yes,Yes,3554108,6300.0,3981200.0
SSF,Madagascar,1565.866943,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,24894552,14000.0,3768759.16
SAS,Maldives,17284.60938,24.0,4.0,1.0,1.0,6.0,3.0,Yes,Yes,No,409163,3003.95,211505.78
LCN,Mexico,19332.07422,52.4,5.9,3.4,12.1,13.8,10.9,Yes,Yes,Yes,125890952,957900.0,53100000.0
EAS,Marshall Islands,3628.895264,8.0,2.0,6.0,31.0,11.0,13.0,Yes,Yes,None,52793,22500.0,8614.0
ECS,"Macedonia, FYR",16147.72949,29.3,4.1,2.5,19.8,12.8,13.9,Yes,Yes,Yes,2082958,1220.0,626970.375
SSF,Mali,2007.80603,17.5,1.0,3.5,72.5,3.5,2.0,Yes,Yes,Yes,16006670,12000.0,1937354.44
MEA,Malta,43707.53906,52.0,6.0,4.0,9.5,18.0,12.0,Yes,Yes,Yes,502653,7643.0,348841.1875
EAS,Myanmar,1093.788086,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,46095464,55000.0,4677306.529
ECS,Montenegro,20752.62109,33.82,8.97,2.9,19.46,13.72,18.42,Yes,Yes,No,622227,6200.0,329780.3125
EAS,Mongolia,10940.41504,22.7,4.0,3.0,50.1,12.7,14.5,Yes,Yes,Yes,3027398,14000.0,2900000.0
EAS,Northern Mariana Islands,60955.72656,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,54036,22500.0,32761.4145
SSF,Mozambique,1217.09021,60.0,4.0,3.0,15.0,25.0,11.5,Yes,Yes,Yes,27212382,17000.0,2500000.0
SSF,Mauritania,4783.635742,4.8,4.0,4.2,59.7,7.3,20.0,Yes,Yes,No,3506288,5100.0,454000.0
SSF,Mauritius,20646.93359,64.0,2.8,3.0,8.0,13.0,12.4,Yes,Yes,Yes,1263473,11000.0,438000.0
SSF,Malawi,999.4413452,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,16577147,9500.0,1297844.48
EAS,Malaysia,23906.26563,46.0,3.0,3.0,9.0,14.0,15.0,Yes,Yes,Yes,30228016,280000.0,12982685.0
SSF,Namibia,6152.987305,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,1559983,14000.0,256729.0
EAS,New Caledonia,57330.20313,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,278000,22500.0,108157.384
SSF,Niger,1038.224121,38.0,4.0,1.0,57.0,2.0,2.0,Yes,Yes,Yes,8842415,7900.0,1865645.67
SSF,Nigeria,4690.379395,43.2,3.1,3.0,11.3,8.0,4.8,Yes,Yes,Yes,154402176,277000.0,27614830.07
LCN,Nicaragua,4611.840332,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,5737723,10800.0,1528816.293
ECS,Netherlands,56849.375,35.0,5.4,4.3,20.24,21.0,14.0,Yes,Yes,No,17332850,534410.0,8805088.0
ECS,Norway,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,Yes,Yes,Yes,5347896,150000.0,4149967.25
SAS,Nepal,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,Yes,Yes,Yes,28982772,23000.0,1768977.49
EAS,Nauru,11167.31934,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,No,13049,22500.0,6191.7505
EAS,New Zealand,41857.47656,28.0,4.0,4.5,37.0,7.0,8.0,Yes,Yes,Yes,4692700,95000.0,3405000.0
MEA,Oman,30535.83398,27.0,6.0,3.0,24.0,15.0,21.0,Yes,Yes,Yes,3960925,59000.0,1734885.15
SAS,Pakistan,4571.414551,30.0,6.0,4.0,20.0,13.0,9.0,Yes,No,Yes,193203472,301000.0,30760000.0
LCN,Panama,28436.35938,46.4,5.8,3.8,5.7,26.3,12.0,Yes,Yes,Yes,3969249,3200.0,1472262.215
LCN,Peru,11877.08398,50.43,3.05,2.64,21.7,7.44,10.52,Yes,Yes,Yes,30973354,182000.0,8356711.13
EAS,Philippines,7705.04541,52.31,2.34,4.22,21.52,8.7,10.55,Yes,Yes,Yes,103320224,290000.0,14631922.9
EAS,Palau,18275.02539,26.0,5.0,10.0,9.0,15.0,32.0,None,Yes,None,21503,200.0,9426.7455
EAS,Papua New Guinea,3912.381104,31.0,4.0,3.0,42.0,16.6,10.0,Yes,Yes,Yes,7755785,7000.0,1000000.0
ECS,Poland,33221.54297,37.27,10.07,2.17,26.69,11.27,12.13,Yes,Yes,Yes,37970872,224452.0,12758213.0
LCN,Puerto Rico,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,Yes,Yes,Yes,3473181,946.44,4170953.0
ECS,Portugal,34961.94531,36.49,6.73,1.85,27.68,13.64,10.72,Yes,Yes,Yes,10269417,170078.0,5268211.0
LCN,Paraguay,11810.42773,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,6639119,34200.0,1818501.365
MEA,West Bank and Gaza,5985.683105,59.1,2.4,2.7,11.5,10.1,14.2,Yes,Yes,Yes,4046901,22500.0,1387000.0
EAS,French Polynesia,60955.72656,47.0,3.0,3.0,29.0,16.0,2.0,Yes,No,No,273528,22500.0,147000.0
MEA,Qatar,96261.66406,57.0,4.0,9.0,5.0,11.0,14.0,Yes,Yes,Yes,2109568,29000.0,1000990.016
ECS,Romania,29983.55664,56.26,4.89,2.5,10.68,11.34,12.33,Yes,Yes,Yes,19356544,132268.0,5419832.5
ECS,Russian Federation,26012.84961,28.41,16.82,1.83,19.03,19.7,14.21,Yes,Yes,Yes,143201680,1392000.0,60000000.0
SSF,Rwanda,1950.528076,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,11917508,5900.0,4384969.0
MEA,Saudi Arabia,48921.23047,45.5,4.0,5.0,2.5,27.0,11.0,Yes,Yes,Yes,31557144,508000.0,16125700.58
SSF,Sudan,4191.823242,51.4,3.5,1.7,18.9,11.8,12.7,Yes,Yes,Yes,38647804,51000.0,2831291.0
SSF,Senegal,3067.662598,12.0,2.0,2.0,68.0,5.0,9.0,No,Yes,Yes,15411614,15000.0,2454059.25
EAS,Singapore,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,Yes,Yes,Yes,5703600,100000.0,1870000.0
EAS,Solomon Islands,2596.452881,42.8,6.65,13.15,3.7,6.45,22.35,Yes,Yes,No,563513,400.0,179971.9644
SSF,Sierra Leone,1237.630249,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,5439695,3400.0,610222.09
LCN,El Salvador,7328.713379,65.0,4.0,2.0,7.0,12.0,10.0,Yes,Yes,Yes,6164626,30100.0,1648996.18
ECS,San Marino,58806.19922,5.35,5.61,0.9,65.56,13.21,5.6,Yes,Yes,Yes,33203,22500.0,17174.68
SSF,Somalia,1862.614136,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,14317996,22500.0,2326099.17
ECS,Serbia,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,Yes,Yes,Yes,6944975,14388.0,2347401.5
SSF,South Sudan,1795.991943,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,11177490,22500.0,2680681.0
SSF,São Tomé and Príncipe,3720.786865,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,191266,200.0,25586.5
LCN,Suriname,16953.80273,57.0,3.0,3.0,24.0,13.155000000000001,11.0,No,No,No,526103,5000.0,78619.79915
ECS,Slovak Republic,31965.76172,42.0,19.0,2.0,1.0,25.0,11.0,Yes,Yes,Yes,5454073,30911.0,2296164.75
ECS,Slovenia,39037.93359,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,2087946,26359.0,1052324.75
ECS,Sweden,52608.71094,23.34,9.15,9.2,14.0,36.4,6.58,Yes,Yes,Yes,10285453,721671.0,4618168.5
SSF,Eswatini,8321.106445,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,1343098,5700.0,218199.47
LCN,Sint Maarten (Dutch part),13465.88525,46.0,7.0,7.0,12.0,15.0,13.0,Yes,Yes,Yes,37685,22500.0,1787400.0
SSF,Seychelles,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,Yes,Yes,Yes,88303,1100.0,48000.0
MEA,Syrian Arab Republic,8587.050781,57.0,3.0,4.0,22.0,7.0,7.0,Yes,Yes,Yes,20824892,22500.0,4500000.0
LCN,Turks and Caicos Islands,28174.48242,21.8,20.5,7.6,2.4,31.5,16.3,Yes,Yes,Yes,34900,22500.0,1787400.0
SSF,Chad,1732.691284,70.0,1.0,2.0,18.0,3.0,6.0,Yes,Yes,Yes,11887202,8800.0,1358850.53
SSF,Togo,1404.132935,38.0,2.0,4.0,42.0,4.0,10.0,Yes,Yes,No,7228915,6400.0,1109030.45
EAS,Thailand,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,Yes,Yes,Yes,68657600,384233.0,26853366.0
ECS,Tajikistan,2616.475586,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,8177809,22500.0,1787400.0
ECS,Turkmenistan,11471.18652,16.18,4.64,11.44,62.54,13.155000000000001,2.19,Yes,Yes,Yes,5366277,22000.0,500000.0
EAS,Timor-Leste,3344.57373,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,1268671,3600.0,63875.0
EAS,Tonga,5636.418457,51.3,5.9,9.0,8.9,7.4,13.4,Yes,Yes,Yes,104951,300.0,17238.20175
LCN,Trinidad and Tobago,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,Yes,Yes,Yes,1328100,71.07,727874.0
MEA,Tunisia,10505.2627,68.0,2.0,4.0,5.0,10.0,11.0,Yes,Yes,Yes,11143908,90000.0,2700000.0
ECS,Turkey,28289.08789,64.0,2.0,1.0,24.0,6.0,3.0,Yes,Yes,Yes,83429616,623000.0,35374156.0
EAS,Tuvalu,3793.127686,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,None,11097,10.0,3989.4865
EAS,Afghanistan,57362.92578,23.34,4.11,3.07,14.11,30.01,20.23,Yes,Yes,Yes,23434000,14036.0,7336000.0
SSF,Tanzania,2128.553955,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,49082996,38000.0,9276995.0
SSF,Uganda,1972.301758,74.5,0.8,0.6,10.6,6.0,7.6,Yes,Yes,Yes,35093648,25000.0,7045049.836
ECS,Ukraine,11534.6377,37.0,5.0,4.0,22.0,25.0,7.0,Yes,Yes,Yes,45004644,277000.0,15242025.0
LCN,Uruguay,20588.39258,53.5,3.0,5.0,7.5,20.0,11.0,Yes,Yes,Yes,3431552,37000.0,1260139.509
NAC,United States,61498.37109,14.9,4.4,9.0,3.2,26.6,12.9,Yes,Yes,Yes,326687488,2440000.0,265224528.0
ECS,Uzbekistan,5164.274414,40.0,3.0,2.0,17.5,17.5,2.5,Yes,Yes,Yes,29774500,22500.0,4000000.0
LCN,St. Vincent and the Grenadines,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,Yes,Yes,No,109455,900.0,31561.34925
LCN,"Venezuela, RB",14269.67383,43.2,4.0,3.0,14.0,13.155000000000001,11.5,No,Yes,Yes,29893080,232700.0,9779093.14
LCN,British Virgin Islands,24215.88281,6.5,18.1,8.6,4.8,33.5,6.3,Yes,Yes,Yes,20645,22500.0,21099.19
LCN,Virgin Islands (U.S.),30436.56445,46.0,7.0,7.0,12.0,15.0,13.0,Yes,Yes,Yes,105784,22500.0,146500.0
EAS,Vietnam,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,Yes,Yes,Yes,86932496,141000.0,9570300.0
EAS,Vanuatu,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,Yes,Yes,Yes,270402,300.0,70225.489
EAS,Samoa,6210.983398,42.6,2.2,8.8,19.4,7.2,13.0,Yes,Yes,Yes,187665,500.0,27399.09
ECS,Kosovo,9723.561523,42.0,6.0,6.0,20.0,8.0,11.0,Yes,Yes,Yes,1801800,23.0,319000.0
MEA,"Yemen, Rep.",8269.671875,65.0,1.0,6.0,6.0,7.0,10.0,Yes,Yes,No,27584212,42000.0,4836820.0
SSF,South Africa,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,Yes,Yes,Yes,51729344,321000.0,18457232.0
SSF,Zambia,3201.289307,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,14264756,15000.0,2608268.0
SSF,Zimbabwe,3190.506592,36.0,5.0,6.0,3.0,27.0,23.0,Yes,Yes,Yes,12500525,13000.0,1449752.0
